,Unnamed: 0,Unnamed: 0.1,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech,month
0,5171,5171,_instant_bot_,instant-bot,732647642346491904,1163939417804955654,/_instant_bot_/status/1163939417804955654,2019-08-20 22:22:36,1566339756,A project is a collection of desktop wallpapers curated by Tom Watson designed to make inroads into that market as well.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">A project is a collection of desktop wallpapers curated by <strong>Tom</strong> <strong>Watson</strong> designed to make inroads into that market as well.</p>",[],[],False,[],,0,0,0,False,False,,[],neither,08
1,8750,8750,Giovasummer,Giovanny Verano,168406203,1180611867066163200,/Giovasummer/status/1180611867066163200,2019-10-05 22:32:58,1570314778,Delicious victory coming up  #Bernie2020pic.twitter.com/WavBwpAFp5,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Delicious victory coming up  <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bernie2020?src=hash""><s>#</s><b>Bernie2020</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/WavBwpAFp5"">pic.twitter.com/WavBwpAFp5</a></p>",[],['Bernie2020pic'],True,['https://pbs.twimg.com/media/EGJgO8iXUAAeif2.jpg'],,4,2,1,True,True,1.1801565790369792e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",neither,10
2,39,39,bruce9876,Bruce Bernstein,1765491,1160699664196395009,/bruce9876/status/1160699664196395009,2019-08-11 23:48:59,1565567339,apparently you can't read.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">apparently you can't read.</p>",[],[],False,[],,0,0,0,False,True,1.160659282867708e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}, {'screen_name': 'briebriejoy', 'user_id': '1332630685'}, {'screen_name': 'wideofthepost', 'user_id': '3152555541'}]",neither,08
3,2781,2781,julia_politics,Julia ð¶,3438997817,1190367865431633920,/julia_politics/status/1190367865431633920,2019-11-01 20:39:49,1572640789,"I agree itâs a mess. 
And fundamentally the leader stays mute. 

So nothing is learned. 
No progress is made. 

I would like to see a split off. 

So action not words. 

But also b/c I think thereâs real differences elsewhere too.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I agree itâs a mess. 
And fundamentally the leader stays mute. 

So nothing is learned. 
No progress is made. 

I would like to see a split off. 

So action not words. 

But also b/c I think thereâs real differences elsewhere too.</p>",[],[],False,[],,0,0,1,True,True,1.1903595163423744e+18,"[{'screen_name': 'GK15513088', 'user_id': '1154099190097727489'}, {'screen_name': 'leekern13', 'user_id': '1017650079610613760'}]",neither,11
4,1851,1851,bruce9876,Bruce Bernstein,1765491,1154142728990728192,/bruce9876/status/1154142728990728192,2019-07-24 21:34:04,1564004044,"As is Omar, Tom, and Barbara Lee. CBC includes entire spectrum, including, in the past, conservatives.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">As is Omar, <strong>Tom</strong>, and Barbara Lee. CBC includes entire spectrum, including, in the past, conservatives.</p>",[],[],False,[],,1,0,1,True,True,1.1541416490707108e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",neither,07
5,6230,6230,grahamsbino,Graham Sabino #JC9 #GTTO#IStandWithCorbyn,4252017616,1144381795309445120,/grahamsbino/status/1144381795309445120,2019-06-27 23:07:36,1561676856,"You nasty piece of work. Happy, no delighted, to see you and all your fellow hypocrites go. Leave and let us members get on with creating a society for the many not the few","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">You nasty piece of work. Happy, no delighted, to see you and all your fellow hypocrites go. Leave and let us members get on with creating a society for the many not the few</p>",[],[],False,[],,4,0,0,False,True,1.1442343929209732e+18,"[{'screen_name': 'tom_watson', 'user_id': '14190551'}]",neither,06
6,9617,9617,alltoplay4,keno2 VoteLabour2019,937949268,1150879340063801349,/alltoplay4/status/1150879340063801349,2019-07-15 21:26:31,1563225991,"NK is a Stalinist nightmare.
Lenin oppressed those who were trying to murder their way back to power.I endorse what he did 100%. I would support that again.
Mao was a Stalinist too, but a vast improvement on what had gone before.
What about Harry Truman & Churchill? Hiroshima?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">NK is a Stalinist nightmare.
Lenin oppressed those who were trying to murder their way back to power.I endorse what he did 100%. I would support that again.
Mao was a Stalinist too, but a vast improvement on what had gone before.
What about Harry Truman &amp; Churchill? Hiroshima?</p>",[],[],False,[],,0,0,1,True,True,1.150486533604094e+18,"[{'screen_name': 'SAs115thDream', 'user_id': '415452078'}, {'screen_name': 'KerryBurgess', 'user_id': '430622085'}]",neither,07
7,6823,6823,why_bbb16,Tea â¡ Storm,4867223459,1157374533625700352,/why_bbb16/status/1157374533625700352,2019-08-02 19:36:06,1564774566,Not a huge supporter of Tulsi. Appreciate her for exposing Kamala's past actions at the debate but her actions are sometimes on the wrong side of things. There're better options than Tulsi. And the focus of Bernie supporters is on getting Bernie elected. That's it. This is a lie.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Not a huge supporter of Tulsi. Appreciate her for exposing Kamala's past actions at the debate but her actions are sometimes on the wrong side of things. There're better options than Tulsi. And the focus of Bernie supporters is on getting Bernie elected. That's it. This is a lie.</p>",[],[],False,[],,0,0,0,False,True,1.1572477666173174e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",neither,08
8,1355,1355,joe_nilo,Papa Joe ðºð¸ð®ðªð³ï¸âðð´ââ ï¸,19922357,1193551849456095232,/joe_nilo/status/1193551849456095232,2019-11-10 15:31:50,1573399910,"I was born in 1956. I feel I'm a part of both cohorts. The Boomer Generation is not monolithic, as many would have you believe.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I was born in 1956. I feel I'm a part of both cohorts. The Boomer Generation is not monolithic, as many would have you believe.</p>",[],[],False,[],,3,0,1,True,True,1.1935476035789046e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",neither,11
9,1064,1064,espaco408,Democracy,422772143,1193658266867425280,/espaco408/status/1193658266867425280,2019-11-10 22:34:42,1573425282,People like you havenât helped him and you are toast,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">People like you havenât helped him and you are toast</p>",[],[],False,[],,1,0,0,False,True,1.192202906650501e+18,"[{'screen_name': 'YvetteCooperMP', 'user_id': '328634628'}, {'screen_name': 'tom_watson', 'user_id': '14190551'}, {'screen_name': 'UKLabour', 'user_id': '14291684'}]",neither,11
